Input_ID,AssignmentId,HITId,HITTypeId
a0b9000000GiM7U,37XITHEISXNCZXGRGC2XGW6D4QVCR2,3S4TINXCC01N5VYBKIKWMX06HXXOB8,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM7U,3VNL7UK1XGXWIODTB3XTOHSYPOLTF8,3S4TINXCC01N5VYBKIKWMX06HXXOB8,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM9V,3P59JYT76MYCHU1HN8IM4YY9GKDT2L,3DA79LNS599YFSZ616RPYO8HSD1T38,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM9V,3WZ36BJEV4U6571D61BX5R1DAQSBT7,3DA79LNS599YFSZ616RPYO8HSD1T38,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMBM,33LKR6A5KFY5S9JL44I8ZFO4OFL1T0,3ZTE0JGGCE66F0QHYIGRXH6OZIXOCF,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMBM,3K772S5NP9PE71M2GYWYSG4A2UZEHR,3ZTE0JGGCE66F0QHYIGRXH6OZIXOCF,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM9k,3E1QT0TDFQNXUVNV9DSJ0I93R3P8IM,3LVTFB9DE5WMHOJ2FH4ECDM3CB7QGZ,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM9k,3P59JYT76MYCHU1HN8IM4YY9GKE2TV,3LVTFB9DE5WMHOJ2FH4ECDM3CB7QGZ,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgoUi,3QRYMNZ7FZV86GQA9RG6WM17RF4TNC,3QHITW7OYONL7X6ZTHC4GRB0EGUQAN,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgoUi,3XLBSAQ9Z5QFP77MZCOZMDGYCWM7ZW,3QHITW7OYONL7X6ZTHC4GRB0EGUQAN,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMC4,3018Q3ZVOJ4O6IJTWY66A1GP4OZARP,3EPG8DX9LK431FT3Y86Y8B54H685P6,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMC4,3UOUJI6MTESSINJ3B2TPZKE7C7LXUR,3EPG8DX9LK431FT3Y86Y8B54H685P6,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMC4,3X87C8JFV7PSUDQN0J3XQB0QU8XQST,3EPG8DX9LK431FT3Y86Y8B54H685P6,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgoV7,3UN61F00HX3R0C7C12FP2Q03C99R59,3NI0WFPPI9UWW2PXM61DLGIW5T706A,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgoV7,3XLBSAQ9Z5QFP77MZCOZMDGYCX8Z7C,3NI0WFPPI9UWW2PXM61DLGIW5T706A,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMCA,3300DTYQT3VRKUL5ZOJS1UWBTG5EQV,36AZSFEYZ4EIVF78LU6AHPUEDQUVBH,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMCA,3E1QT0TDFQNXUVNV9DSJ0I93R3R8IO,36AZSFEYZ4EIVF78LU6AHPUEDQUVBH,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000Ggo1Y,3B837J3LDPAS6E5NDYSXV1AVQTGSRB,3LN50BUKPVPH34WOQVM5P0113W7LP9,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000Ggo1Y,3R2PKQ87NXMCFKPZ3E2250AYB8EIMK,3LN50BUKPVPH34WOQVM5P0113W7LP9,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMAO,3HPZF4IVNN7LWYSDU7UROSZA7EYCYU,3K3G488TR2MO1RUIYLLN8GVEM2U5QX,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMAO,3LEP4MGT3HEZOI5GKBBI0NJR744BDO,3K3G488TR2MO1RUIYLLN8GVEM2U5QX,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMAO,3X66WABAJXWXX7BU78XKOPOCW5SG3Z,3K3G488TR2MO1RUIYLLN8GVEM2U5QX,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgpD4,38SKSKU7R2BS927E321N5NV9B4CLIB,3ZQA3IO31B5MSXGJILR7GLNXVL6O1P,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgpD4,3UXUOQ9OKFBEOZZENK805KPP3CYA7J,3ZQA3IO31B5MSXGJILR7GLNXVL6O1P,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMB7,31Q0U3WYDQTIUBMER1F7UJWMZIQ71Q,3ICOHX7ENCP09HICSOKBX4A9MRV0EV,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMB7,3FQ5JJ512M293X0NFI2EVVEB82DNK0,3ICOHX7ENCP09HICSOKBX4A9MRV0EV,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMB7,3YMU66OBIOMCRFITMTMMSJPMFADGH9,3ICOHX7ENCP09HICSOKBX4A9MRV0EV,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgpDD,3BWI6RSP7HNHECGQ3PAM13FGORZE7L,31GN6YMHLP6URQOFMQX1TGNSONISWP,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GgpDD,3HSYG7LRBKC8VRFKI5AY33X7E78KKS,31GN6YMHLP6URQOFMQX1TGNSONISWP,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM91,3EQHHY4HQT60BMYYLRLD3MMWA1A5G5,3ZLW647WAL94VT5TIR7TX1ZRS0P32R,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM91,3LPW2N6LKUGJG4ZT5WAU71NNJ8BU5E,3ZLW647WAL94VT5TIR7TX1ZRS0P32R,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
Input_ID,AssignmentId,HITId,HITTypeId
a0b9000000GiM7U,37XITHEISXNCZXGRGC2XGW6D4QVCR2,3S4TINXCC01N5VYBKIKWMX06HXXOB8,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM7U,3VNL7UK1XGXWIODTB3XTOHSYPOLTF8,3S4TINXCC01N5VYBKIKWMX06HXXOB8,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM9V,3P59JYT76MYCHU1HN8IM4YY9GKDT2L,3DA79LNS599YFSZ616RPYO8HSD1T38,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM9V,3WZ36BJEV4U6571D61BX5R1DAQSBT7,3DA79LNS599YFSZ616RPYO8HSD1T38,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMBM,33LKR6A5KFY5S9JL44I8ZFO4OFL1T0,3ZTE0JGGCE66F0QHYIGRXH6OZIXOCF,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiMBM,3K772S5NP9PE71M2GYWYSG4A2UZEHR,3ZTE0JGGCE66F0QHYIGRXH6OZIXOCF,3WZJZ0TDWU5IJMNMRBFGINOEC0L0GV
a0b9000000GiM9k,3E1QT0TDFQNXUVNV9DSJ0I93R3P8IM,3LVT